LPT
0
1
8
2
70
70
68
69
70
68
67
71
74
70
76
71
74
68
71
70
73
75
66
70
63
70
71
71
74
63
68
70
72
72
71
75
70
74
67
74
72
74
75
69
69
72
68
66
64
69
67
70
73
70
69
71
67
68
76
70
74
72
72
73
74
71
76
70
70
67
67
70
72
68
67
71
67
69
65
76
71
73
71
75
72
74
81
71
66
70
64
71
75
70
65
68
66
73
76
81
76
70
71
77
78
77
74
69
71
68
71
69
69
67
70
69
65
70
71
71
73
71
67
72
75
70
70
69
74
71
74
71
70
73
73
69
71
69
71
69
70
68
72
72
68
66
68
66
69
72
71
66
68
70
68
75
68
72
76
67
70
72
72
72
64
72
72
72
69
69
69
69
67
75
70
71
69
70
65
70
71
76
74
68
71
68
70
79
71
73
72
67
74
70
69
73
66
68
62
66
71
65
67
69
71
76
70
69
78
74
70
72
68
71
72
69
75
72
64
71
71
66
65
71
67
71
67
71
75
73
73
71
75
72
67
66
73
64
73
62
66
67
75
65
73
65
68
71
73
70
67
69
68
78
69
74
64
72
73
71
73
71
71
77
68
69
74
69
67
71
68
68
72
71
66
70
72
64
70
73
71
71
70
68
71
66
75
77
74
71
79
69
73
65
65
73
69
66
65
70
66
71
66
70
71
71
74
72
73
78
72
74
75
75
73
72
72
72
67
69
75
67
71
68
72
72
65
67
73
71
73
71
69
77
71
76
74
75
70
71
69
72
67
72
70
66
69
72
72
75
73
73
73
73
72
74
72
73
74
70
67
67
67
72
72
71
70
73
69
72
72
76
69
70
67
65
72
74
72
67
69
71
74
75
72
64
67
73
71
73
75
77
69
72
70
75
72
73
73
65
65
68
68
73
68
70
68
70
68
69
67
74
77
74
73
76
73
78
73
70
74
73
75
65
66
72
67
69
73
71
74
70
72
74
77
72
72
80
68
75
69
77
75
67
71
73
71
70
66
64
72
71
68
75
71
68
73
66
70
80
73
76
69
76
77
71
74
73
67
73
69
70
68
73
66
71
70
65
65
75
66
67
66
70
71
74
66
74
70
74
73
72
73
76
69
77
66
75
74
73
75
72
67
70
70
72
68
71
73
70
71
73
72
77
75
69
73
73
74
74
67
76
70
67
74
72
71
70
78
70
72
70
71
74
75
69
76
76
75
74
72
77
73
73
73
75
76
70
68
69
73
73
68
67
68
71
69
75
71
74
69
65
76
75
74
71
69
70
77
69
71
73
69
69
63
71
64
73
71
65
74
71
75
76
72
76
71
73
76
70
70
76
75
71
71
68
75
71
74
72
67
75
71
69
82
74
71
70
71
77
72
78
67
72
76
69
78
74
68
74
71
72
69
70
66
72
73
73
64
68
72
74
68
72
77
68
75
72
72
80
73
67
66
68
70
71
73
67
67
70
72
73
67
70
67
73
71
64
73
80
76
74
73
71
71
71
67
65
70
77
65
70
73
64
73
67
72
68
74
63
77
75
80
75
76
71
73
69
72
73
76
70
69
66
75
78
70
75
75
69
73
77
75
77
77
69
68
75
74
73
73
68
67
65
73
74
70
71
72
