971,1238
4170,4721
7189,7681
9986,10591
12779,13327
16007,16483
19579,20142
22421,22972
25230,25785
27728,28218
29811,30376
33176,33567
36067,36505
38962,39396
41450,41998
44238,44808
46877,47404
48864,49560
52590,52970
55347,55927
58079,58707
60425,60841
63194,63604
65670,66095
68250,68641
