40,1326
4677,6859
7380,7552
7957,8061
9075,11940
11679,11940
12413,12633
16654,17089
17245,18549
17245,18557
21652,22116
22234,23297
25681,27530
25681,27530
27638,27744
29548,31480
34156,36888
37122,37781
43593,43848
44218,45113
45205,45852
45926,46292
50382,50853
50382,50853
50937,52221
50937,52221
50937,52221
50937,52222
52284,53149
52284,53149
57674,60187
60289,60386
63174,65461
63174,65461
63174,65461
65573,65897
67963,68059
70629,70762
71183,71612
72121,72246
74294,74469
74960,75154
75390,75851
76126,76271
78663,79528
79122,80185
82793,82921
83137,84604
83137,85237
85309,85394
